accession,gene_name,protein_name,length,family,domains,n_domains,idr_percentage,idr_total_length,n_idr_regions,ps_score,ps_category,charge_density,aromatic_density,species,species_key,complexity,LLPhyScore_mean,LLPhyScore_median,LLPhyScore_max,disorder_long_mean,pi_pi_mean,electrostatic_mean,protein_water_mean,llphy_category
Q6Y7W6,GIGYF2 KIAA0642 PERQ2 TNRC15,GRB10-interacting GYF protein 2 (PERQ amino acid-rich with GYF domain-containing protein 2) (Trinucleotide repeat-containing gene 15 protein),1299,Other,,0,83.6,1033,12,0.434,Medium,31.717,5.697,Homo sapiens,human,high,120.0,97.25128960943258,0.9778964453898168,47.0,-257.0,62.0,117.0,High
Q6ZN04,MEX3B KIAA2009 RKHD3 RNF195,RNA-binding protein MEX3B (RING finger and KH domain-containing protein 3) (RING finger protein 195),569,KH-containing,KH,1,78.21,416,10,0.381,Medium,17.575,4.921,Homo sapiens,human,high,138.0,97.52886268730045,1.0113063612025075,-22.0,9.0,85.0,128.0,High
Q6UXG2,ELAPOR1 EIG121 KIAA1324 UNQ2426/PRO4985,Endosome/lysosome-associated apoptosis and autophagy regulator 1 (Estrogen-induced gene 121 protein),1013,Other,,0,43.63,309,16,0.253,Low,19.348,10.365,Homo sapiens,human,high,-302.0,51.56226971260133,0.1946195302256154,-125.0,-145.0,111.0,-3.0,Low
Q6YP21,KYAT3 CCBL2 KAT3,Kynurenine--oxoglutarate transaminase 3 (EC 2.6.1.7) (Cysteine-S-conjugate beta-lyase 2) (EC 4.4.1.13) (Kynurenine aminotransferase 3) (Kynurenine aminotransferase III) (KATIII) (Kynurenine--glyoxylate transaminase) (EC 2.6.1.63) (Kynurenine--oxoglutarate transaminase III),454,Other,,0,29.3,51,4,0.205,Low,23.348,11.013,Homo sapiens,human,high,-477.0,32.11004667157947,-0.130199095731103,-85.0,-139.0,4.0,-49.0,Low
Q7KZ85,SUPT6H KIAA0162 SPT6H,Transcription elongation factor SPT6 (hSPT6) (Histone chaperone suppressor of Ty6) (Tat-cotransactivator 2 protein) (Tat-CT2 protein),1726,Other,,0,64.37,936,22,0.364,Medium,32.677,8.806,Homo sapiens,human,high,-869.0,9.643822156718253,-0.8577928178741525,-293.0,-269.0,80.0,-12.0,Low
Q7KZI7,MARK2 EMK1,Serine/threonine-protein kinase MARK2 (EC 2.7.11.1) (EC 2.7.11.26) (ELKL motif kinase 1) (EMK-1) (MAP/microtubule affinity-regulating kinase 2) (PAR1 homolog) (PAR1 homolog b) (Par-1b) (Par1b),788,Other,,0,62.69,415,5,0.337,Medium,25.635,6.472,Homo sapiens,human,high,-213.0,63.88847948906903,0.3598130028550322,-27.0,-163.0,69.0,27.0,Low
Q7Z3Z4,PIWIL4 HIWI2 PIWI,Piwi-like protein 4,852,Other,PIWI|PAZ,2,27.82,140,5,0.189,Low,21.244,8.92,Homo sapiens,human,high,-893.0,9.096045197740114,-0.902339372291074,-174.0,-265.0,22.0,-95.0,Low
Q7Z4G4,TRMT11 C6orf75 MDS024,tRNA (guanine(10)-N(2))-methyltransferase TRMT11 (EC 2.1.1.214) (tRNA methyltransferase 11 homolog),463,Other,,0,34.13,109,5,0.23,Low,24.838,11.663,Homo sapiens,human,high,-446.0,34.89069024809629,-0.0726597962759129,-59.0,-140.0,-22.0,-51.0,Low
Q7L2J0,MEPCE BCDIN3,7SK snRNA methylphosphate capping enzyme (MePCE) (EC 2.1.1.-) (Bicoid-interacting protein 3 homolog) (Bin3 homolog),689,Other,SAM,1,67.34,406,5,0.354,Medium,22.351,5.806,Homo sapiens,human,high,16.0,93.93269466961436,0.7848613762498239,5.0,-96.0,27.0,98.0,High
Q7L7V1,DHX32 DDX32,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX32 (EC 3.6.4.13) (DEAD/H box 32) (DEAD/H helicase-like protein 1) (DHLP1) (DEAH box protein 32) (HuDDX32),743,Helicase,Helicase,1,25.17,88,4,0.184,Low,23.419,8.748,Homo sapiens,human,high,-733.0,14.4460820437239,-0.6053623428449313,-123.0,-216.0,-18.0,-84.0,Low
Q7Z478,DHX29 DDX29,ATP-dependent RNA helicase DHX29 (EC 3.6.4.13) (DEAH box protein 29) (Nucleic acid helicase DDXx),1369,Helicase,Helicase,1,48.43,574,18,0.283,Low,27.1,7.232,Homo sapiens,human,high,-1356.0,3.350528125767625,-1.761716651250849,-224.0,-433.0,-87.0,-101.0,Low
Q7Z5W3,BCDIN3D,RNA 5'-monophosphate methyltransferase (EC 2.1.1.-) (BCDIN3 domain-containing protein),292,Other,SAM,1,38.01,68,3,0.238,Low,22.945,9.247,Homo sapiens,human,high,-356.0,44.856300663227714,0.0943897827875423,-42.0,-101.0,-44.0,-28.0,Low
Q7Z6M4,MTERF4 MTERFD2 HSPC096,"Transcription termination factor 4, mitochondrial (Mitochondrial transcription termination factor 4) (mTERF domain-containing protein 2) [Cleaved into: mTERF domain-containing protein 2 processed]",381,Other,,0,37.01,112,3,0.247,Low,32.808,5.774,Homo sapiens,human,high,-346.0,45.95676737902236,0.1129508471279262,-59.0,-112.0,-13.0,-39.0,Low
Q7L576,CYFIP1 KIAA0068,Cytoplasmic FMR1-interacting protein 1 (Specifically Rac1-associated protein 1) (Sra-1) (p140sra-1),1253,Other,,0,27.45,237,12,0.196,Low,23.943,9.976,Homo sapiens,human,high,-1550.0,2.353230164578728,-2.1218012994542974,-248.0,-389.0,-82.0,-152.0,Low
Q7Z2T5,TRMT1L C1orf25 TRM1L MSTP070,tRNA (guanine(27)-N(2))-dimethyltransferase (EC 2.1.1.-) (tRNA methyltransferase 1-like protein) (TRMT1-like protein),733,Other,,0,45.16,235,8,0.26,Low,23.465,6.548,Homo sapiens,human,high,-600.0,23.06312945222304,-0.3585001871178252,-143.0,-167.0,-7.0,-21.0,Low
Q7L4I2,RSRC2,Arginine/serine-rich coiled-coil protein 2,434,Other,,0,94.47,410,4,0.495,Medium,42.166,3.226,Homo sapiens,human,high,-156.0,72.16408744780153,0.4656110695952206,-72.0,-113.0,36.0,-2.0,Low
Q7LC44,ARC KIAA0278,Activity-regulated cytoskeleton-associated protein (hArc) (Activity-regulated gene 3.1 protein homolog) (ARC/ARG3.1) (Arg3.1),396,Other,,0,67.42,223,7,0.368,Medium,28.03,8.333,Homo sapiens,human,high,-212.0,64.04814541881602,0.3616691092890707,-49.0,-61.0,-2.0,13.0,Low
Q7L8L6,FASTKD5 KIAA1792,"FAST kinase domain-containing protein 5, mitochondrial",764,Other,,0,23.95,121,5,0.172,Low,20.681,8.639,Homo sapiens,human,high,-911.0,8.653893392286909,-0.935749288103765,-103.0,-255.0,-66.0,-66.0,Low
Q7RTV0,PHF5A,PHD finger-like domain-containing protein 5A (PHD finger-like domain protein 5A) (Splicing factor 3B-associated 14 kDa protein) (SF3b14b),110,Other,,0,32.73,13,1,0.233,Low,30.0,9.091,Homo sapiens,human,high,-68.0,86.08450012281995,0.628948435790599,-27.0,-11.0,-5.0,-18.0,Low
Q7Z333,SETX ALS4 KIAA0625 SCAR1,Probable helicase senataxin (EC 3.6.4.-) (Amyotrophic lateral sclerosis 4 protein) (SEN1 homolog) (Senataxin),2677,Other,,0,56.03,1286,34,0.312,Medium,27.12,6.238,Homo sapiens,human,high,-1823.0,1.5426185212478507,-2.6285183559467784,-263.0,-765.0,73.0,-237.0,Low
Q7Z417,NUFIP2 KIAA1321 PIG1,FMR1-interacting protein NUFIP2 (82 kDa FMRP-interacting protein) (82-FIP) (Cell proliferation-inducing gene 1 protein) (FMRP-interacting protein 2) (Nuclear FMR1-interacting protein 2),695,Other,,0,80.58,511,14,0.396,Medium,20.576,5.755,Homo sapiens,human,high,291.0,98.69319577499388,1.2952906456103817,62.0,-77.0,102.0,61.0,High
Q7L2E3,DHX30 DDX30 KIAA0890,ATP-dependent RNA helicase DHX30 (EC 3.6.4.13) (DEAH box protein 30),1194,Helicase,Helicase,1,49.92,452,18,0.284,Low,25.293,5.863,Homo sapiens,human,high,-1261.0,4.048145418816016,-1.585386540017202,-227.0,-400.0,-103.0,-63.0,Low
Q7Z5Q1,CPEB2,Cytoplasmic polyadenylation element-binding protein 2 (CPE-BP2) (CPE-binding protein 2) (hCPEB-2),589,CPEB,RRM,1,70.46,321,11,0.362,Medium,19.015,8.998,Homo sapiens,human,high,-56.0,87.67870302137068,0.6512217129990597,-22.0,-81.0,78.0,76.0,Low
Q7Z2W4,ZC3HAV1 ZC3HDC2 PRO1677,Zinc finger CCCH-type antiviral protein 1 (ADP-ribosyltransferase diphtheria toxin-like 13) (ARTD13) (Inactive Poly [ADP-ribose] polymerase 13) (PARP13) (Zinc finger CCCH domain-containing protein 2) (Zinc finger antiviral protein) (ZAP),902,Other,,0,53.22,379,9,0.296,Low,23.06,8.537,Homo sapiens,human,high,-461.0,33.52493244902973,-0.1005013927864888,-114.0,-227.0,97.0,10.0,Low
Q7Z6E9,RBBP6 P2PR PACT RBQ1 My038,E3 ubiquitin-protein ligase RBBP6 (EC 2.3.2.27) (Proliferation potential-related protein) (Protein P2P-R) (RING-type E3 ubiquitin transferase RBBP6) (Retinoblastoma-binding Q protein 1) (RBQ-1) (Retinoblastoma-binding protein 6) (p53-associated cellular protein of testis),1792,Other,,0,88.95,1545,16,0.461,Medium,33.538,5.134,Homo sapiens,human,high,213.0,98.24858757062148,1.150514343755387,71.0,-363.0,231.0,27.0,High
Q7Z2E3,APTX AXA1,Aprataxin (EC 3.6.1.71) (EC 3.6.1.72) (Forkhead-associated domain histidine triad-like protein) (FHA-HIT),356,Other,,0,37.64,94,2,0.237,Low,26.404,6.18,Homo sapiens,human,high,-279.0,54.74330631294523,0.2373099782084984,-58.0,-95.0,-4.0,-50.0,Low
Q7Z7H8,MRPL10 MRPL8 RPML8,"Large ribosomal subunit protein uL10m (39S ribosomal protein L10, mitochondrial) (L10mt) (MRP-L10) (39S ribosomal protein L8, mitochondrial) (L8mt) (MRP-L8)",261,Other,,0,32.18,71,4,0.201,Low,20.69,4.598,Homo sapiens,human,high,-376.0,42.49570130189143,0.0572676541067744,-41.0,-120.0,-31.0,-28.0,Low
Q86TB9,PATL1 OK/KNS-cl.5,Protein PAT1 homolog 1 (PAT1-like protein 1) (Protein PAT1 homolog b) (Pat1b) (hPat1b),770,Other,,0,65.06,434,12,0.345,Medium,24.416,5.455,Homo sapiens,human,high,-470.0,32.67993122083026,-0.1172063506928343,-17.0,-216.0,1.0,30.0,Low
Q86UP2,KTN1 CG1 KIAA0004,Kinectin (CG-1 antigen) (Kinesin receptor),1357,Other,,0,79.81,1022,22,0.416,Medium,35.077,3.316,Homo sapiens,human,high,-926.0,8.327192336035372,-0.9635908846143408,-85.0,-406.0,-152.0,-110.0,Low
Q86TM3,DDX53 CAGE,Probable ATP-dependent RNA helicase DDX53 (EC 3.6.4.13) (Cancer-associated gene protein) (Cancer/testis antigen 26) (CT26) (DEAD box protein 53) (DEAD box protein CAGE),631,KH-containing,KH|Helicase,2,51.03,244,8,0.29,Low,25.832,6.656,Homo sapiens,human,high,-376.0,42.49570130189143,0.0572676541067744,-138.0,-138.0,44.0,-53.0,Low
Q86U06,RBM23 RNPC4 PP239,Probable RNA-binding protein 23 (CAPER beta) (CAPERbeta) (RNA-binding motif protein 23) (RNA-binding region-containing protein 4) (Splicing factor SF2),439,RRM-containing,RRM,1,75.4,302,6,0.393,Medium,28.246,5.923,Homo sapiens,human,high,-218.0,63.19086219602064,0.3505324706848403,-93.0,-83.0,19.0,14.0,Low
Q86U90,YRDC DRIP3 IRIP,Threonylcarbamoyl-AMP synthase (EC 2.7.7.87) (Dopamine receptor-interacting protein 3) (Ischemia/reperfusion-inducible protein homolog) (hIRIP),279,Other,,0,58.42,146,4,0.304,Medium,18.996,5.018,Homo sapiens,human,high,-296.0,52.37042495701302,0.2057561688298458,-80.0,-79.0,-24.0,30.0,Low
Q7Z739,YTHDF3,YTH domain-containing family protein 3 (DF3),585,Other,,0,72.82,389,9,0.365,Medium,17.094,8.547,Homo sapiens,human,high,311.0,98.7988209285188,1.3324127742911491,33.0,-12.0,110.0,102.0,High
Q7Z7A3,CTU1 ATPBD3 NCS6,Cytoplasmic tRNA 2-thiolation protein 1 (EC 2.7.7.-) (ATP-binding domain-containing protein 3) (Cancer-associated gene protein) (Cytoplasmic tRNA adenylyltransferase 1),348,Other,,0,74.71,244,8,0.376,Medium,21.839,4.885,Homo sapiens,human,high,-463.0,33.34561532792926,-0.1042136056545655,-154.0,-72.0,-71.0,49.0,Low
Q7Z7L1,SLFN11,Schlafen family member 11 (EC 3.1.-.-),901,Other,,0,37.96,229,10,0.241,Low,25.083,9.212,Homo sapiens,human,high,-1053.0,6.204863669859986,-1.1993164017372169,-182.0,-283.0,-48.0,-112.0,Low
Q86SE5,RALYL HNRPCL3,RNA-binding Raly-like protein (hRALYL) (Heterogeneous nuclear ribonucleoprotein C-like 3) (hnRNP core protein C-like 3),291,hnRNP,RRM,1,68.38,186,5,0.373,Medium,29.897,7.216,Homo sapiens,human,high,-87.0,83.41193809874724,0.5936824135438696,-40.0,-43.0,21.0,3.0,Low
Q86U42,PABPN1 PAB2 PABP2,Polyadenylate-binding protein 2 (PABP-2) (Poly(A)-binding protein 2) (Nuclear poly(A)-binding protein 1) (Poly(A)-binding protein II) (PABII) (Polyadenylate-binding nuclear protein 1),306,PABP,RRM,1,88.89,255,4,0.457,Medium,29.085,6.209,Homo sapiens,human,high,136.0,97.48710390567427,1.0075941483344308,-3.0,-27.0,48.0,60.0,High
Q86SE8,NPM2,Nucleoplasmin-2,214,Other,,0,73.36,131,2,0.399,Medium,35.981,3.738,Homo sapiens,human,high,-57.0,87.57062146892656,0.6493656065650214,-5.0,-66.0,18.0,-22.0,Low
Q86SG3,DAZ4,Deleted in azoospermia protein 4,579,RRM-containing,RRM,1,36.27,148,5,0.217,Low,11.917,13.817,Homo sapiens,human,high,231.0,98.36158192090396,1.183924259568078,-12.0,13.0,166.0,111.0,High
Q86U44,METTL3 MTA70,N(6)-adenosine-methyltransferase catalytic subunit METTL3 (EC 2.1.1.348) (Methyltransferase-like protein 3) (hMETTL3) (N(6)-adenosine-methyltransferase 70 kDa subunit) (MT-A70),580,Other,,0,60.0,314,8,0.325,Medium,26.034,5.517,Homo sapiens,human,high,-452.0,34.377302873986736,-0.0837964348801432,-124.0,-138.0,-33.0,-3.0,Low
Q86UE4,MTDH AEG1 LYRIC,Protein LYRIC (3D3/LYRIC) (Astrocyte elevated gene-1 protein) (AEG-1) (Lysine-rich CEACAM1 co-isolated protein) (Metadherin) (Metastasis adhesion protein),582,Other,,0,87.63,506,4,0.448,Medium,31.787,4.296,Homo sapiens,human,high,155.0,97.7057234094817,1.0428601705811604,-6.0,-88.0,57.0,60.0,High
Q7Z6Z7,HUWE1 KIAA0312 KIAA1578 UREB1 HSPC272,"E3 ubiquitin-protein ligase HUWE1 (EC 2.3.2.26) (ARF-binding protein 1) (ARF-BP1) (HECT, UBA and WWE domain-containing protein 1) (HECT-type E3 ubiquitin transferase HUWE1) (Homologous to E6AP carboxyl terminus homologous protein 9) (HectH9) (Large structure of UREB1) (LASU1) (Mcl-1 ubiquitin ligase E3) (Mule) (Upstream regulatory element-binding protein 1) (URE-B1) (URE-binding protein 1)",4374,ELAV/Hu,,0,54.37,2138,51,0.295,Low,23.708,5.075,Homo sapiens,human,high,-3582.0,0.3193318594939818,-5.893409573420309,-713.0,-1175.0,-73.0,17.0,Low
Q86UK7,ZNF598,E3 ubiquitin-protein ligase ZNF598 (EC 2.3.2.27) (Zinc finger protein 598),904,Other,,0,76.22,659,6,0.394,Medium,24.558,6.527,Homo sapiens,human,high,-391.0,40.72218128224024,0.0294260575961986,-97.0,-155.0,-22.0,117.0,Low
Q86TG7,PEG10 EDR KIAA1051e MAR2 MART2 MEF3L1 RGAG3,Retrotransposon-derived protein PEG10 (Embryonal carcinoma differentiation-regulated protein) (Mammalian retrotransposon-derived protein 2) (Myelin expression factor 3-like protein 1) (MEF3-like protein 1) (Paternally expressed gene 10 protein) (Retrotransposon gag domain-containing protein 3) (Retrotransposon-derived gag-like polyprotein) (Ty3/Gypsy-like protein),708,Other,,0,50.28,281,8,0.287,Low,22.034,8.475,Homo sapiens,human,high,-546.0,27.000736919675756,-0.2582704396797521,-126.0,-137.0,32.0,-5.0,Low
Q7Z7F0,KHDC4 BLOM7 KIAA0907 SNORA80EHG,KH homology domain-containing protein 4 (Brings lots of money 7) (Pre-mRNA splicing factor protein KHDC4),614,KH-containing,KH,1,78.66,444,9,0.387,Medium,16.938,6.189,Homo sapiens,human,high,179.0,97.96855809383445,1.0874067249980817,-1.0,-30.0,49.0,154.0,High
Q86UR5,RIMS1 KIAA0340 RAB3IP2 RIM1 Nbla00761,Regulating synaptic membrane exocytosis protein 1 (Rab-3-interacting molecule 1) (RIM 1) (Rab-3-interacting protein 2),1692,Other,,0,81.91,1307,16,0.419,Medium,28.605,4.196,Homo sapiens,human,high,-719.0,15.197740112994351,-0.5793768527683938,-192.0,-465.0,150.0,-16.0,Low
Q86W50,METTL16 METT10D,RNA N(6)-adenosine-methyltransferase METTL16 (EC 2.1.1.348) (Methyltransferase 10 domain-containing protein) (Methyltransferase-like protein 16) (U6 small nuclear RNA (adenine-(43)-N(6))-methyltransferase) (EC 2.1.1.346),562,Other,,0,41.81,211,5,0.26,Low,27.936,6.762,Homo sapiens,human,high,-420.0,37.563252272169,-0.0244010289909147,-86.0,-145.0,-19.0,-38.0,Low
Q86WX3,RPS19BP1 AROS,Active regulator of SIRT1 (40S ribosomal protein S19-binding protein 1) (RPS19-binding protein 1) (S19BP),136,Other,,0,80.88,104,2,0.431,Medium,35.294,5.147,Homo sapiens,human,high,-73.0,85.43109801031689,0.6196679036204071,-20.0,-30.0,-2.0,1.0,Low
Q86XF0,DHFR2 DHFRL1 DHFRP4,"Dihydrofolate reductase 2, mitochondrial (Dihydrofolate reductase, mitochondrial) (EC 1.5.1.3) (Dihydrofolate reductase-like protein 1)",187,Other,,0,39.04,58,2,0.253,Low,28.342,9.091,Homo sapiens,human,high,-147.0,73.60108081552444,0.4823160275015661,-11.0,-66.0,2.0,-16.0,Low
Q86VM9,ZC3H18 NHN1,Zinc finger CCCH domain-containing protein 18 (Nuclear protein NHN1),953,Other,,0,93.91,883,4,0.495,Medium,39.244,3.882,Homo sapiens,human,high,465.0,99.31220830262836,1.6182531651330616,35.0,-83.0,141.0,204.0,High
Q86YN6,PPARGC1B PERC PGC1 PGC1B PPARGC1,Peroxisome proliferator-activated receptor gamma coactivator 1-beta (PGC-1-beta) (PPAR-gamma coactivator 1-beta) (PPARGC-1-beta) (PGC-1-related estrogen receptor alpha coactivator),1023,RRM-containing,RRM,1,85.73,827,13,0.439,Medium,28.837,5.474,Homo sapiens,human,high,-315.0,49.88700564971752,0.1704901465831163,-3.0,-253.0,51.0,87.0,Low
Q86US8,SMG6 C17orf31 EST1A KIAA0732,Telomerase-binding protein EST1A (EC 3.1.-.-) (Ever shorter telomeres 1A) (hEST1A) (Nonsense mediated mRNA decay factor SMG6) (Smg-6 homolog) (hSmg5/7a),1419,Other,,0,66.31,845,14,0.363,Medium,30.444,6.272,Homo sapiens,human,high,-783.0,12.169000245639891,-0.6981676645468509,-156.0,-313.0,-26.0,-3.0,Low
Q86W42,THOC6 WDR58 PSEC0006,THO complex subunit 6 (Functional spliceosome-associated protein 35) (fSAP35) (WD repeat-containing protein 58),341,Other,,0,41.35,98,4,0.239,Low,19.355,7.625,Homo sapiens,human,high,-352.0,45.32301645787276,0.1018142085236958,-76.0,-84.0,-33.0,-4.0,Low
Q86XP3,DDX42,ATP-dependent RNA helicase DDX42 (EC 3.6.4.13) (DEAD box protein 42) (RNA helicase-like protein) (RHELP) (RNA helicase-related protein) (RNAHP) (SF3b DEAD box protein) (Splicing factor 3B-associated 125 kDa protein) (SF3b125),938,Helicase,Helicase,1,77.29,631,11,0.401,Medium,27.186,6.823,Homo sapiens,human,high,219.0,98.28297715549006,1.1616509823596175,-78.0,-2.0,84.0,113.0,High
Q86Y13,DZIP3 KIAA0675,E3 ubiquitin-protein ligase DZIP3 (EC 2.3.2.27) (DAZ-interacting protein 3) (RING-type E3 ubiquitin transferase DZIP3) (RNA-binding ubiquitin ligase of 138 kDa) (hRUL138),1208,Other,,0,44.87,443,14,0.268,Low,26.159,7.616,Homo sapiens,human,high,-1183.0,4.716285924834193,-1.4406102381622077,-107.0,-379.0,-71.0,-144.0,Low
Q8IUH3,RBM45 DRB1 DRBP1,RNA-binding protein 45 (Developmentally-regulated RNA-binding protein 1) (RB-1) (RNA-binding motif protein 45),476,RRM-containing,RRM,1,57.35,243,10,0.32,Medium,25.0,9.874,Homo sapiens,human,high,-145.0,73.98673544583642,0.4860282403696429,-77.0,-57.0,55.0,10.0,Low
Q8IV48,ERI1 3'EXO THEX1,3'-5' exoribonuclease 1 (EC 3.1.13.1) (3'-5' exonuclease ERI1) (Eri-1 homolog) (Histone mRNA 3'-end-specific exoribonuclease) (Histone mRNA 3'-exonuclease 1) (Protein 3'hExo) (HEXO),349,Other,,0,42.41,117,4,0.268,Low,28.653,8.883,Homo sapiens,human,high,-276.0,55.15106853352985,0.2428782975106136,-28.0,-102.0,-1.0,-24.0,Low
Q86V81,ALYREF ALY BEF THOC4,THO complex subunit 4 (Tho4) (Ally of AML-1 and LEF-1) (Aly/REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing factor BEF),257,RRM-containing,RRM,1,89.11,226,3,0.444,Medium,26.07,4.669,Homo sapiens,human,high,241.0,98.42790469172196,1.202485323908462,-11.0,61.0,9.0,82.0,High
Q86WS4,REDIC1 C12orf40,Regulator of DNA class I crossover intermediates 1,652,Other,,0,55.21,301,10,0.307,Medium,27.147,6.288,Homo sapiens,human,high,-90.0,82.91083271923361,0.5881140942417544,2.0,-172.0,86.0,-35.0,Low
Q86XN8,MEX3D KIAA2031 RKHD1 RNF193,RNA-binding protein MEX3D (RING finger and KH domain-containing protein 1) (RING finger protein 193) (TINO),651,KH-containing,KH,1,82.18,513,9,0.403,Medium,17.665,4.301,Homo sapiens,human,high,-49.0,88.4991402603783,0.6642144580373285,-91.0,-14.0,-22.0,186.0,Low
Q8IU60,DCP2 NUDT20,m7GpppN-mRNA hydrolase (EC 3.6.1.62) (Nucleoside diphosphate-linked moiety X motif 20) (Nudix motif 20) (mRNA-decapping enzyme 2) (hDpc),420,Other,,0,50.71,186,3,0.302,Medium,27.857,10.0,Homo sapiens,human,high,-150.0,73.10980103168755,0.4767477081994509,-17.0,-76.0,11.0,-4.0,Low
Q8IVS2,MCAT MT,"Malonyl-CoA-acyl carrier protein transacylase, mitochondrial (MCT) (EC 2.3.1.39) (Mitochondrial malonyl CoA:ACP acyltransferase) (Mitochondrial malonyltransferase) ([Acyl-carrier-protein] malonyltransferase)",390,Other,,0,46.41,126,4,0.262,Low,20.256,7.692,Homo sapiens,human,high,-409.0,38.690739376074674,-0.0039838582164924,-100.0,-93.0,-34.0,3.0,Low
Q8IWA0,WDR75 UTP17,WD repeat-containing protein 75 (U3 small nucleolar RNA-associated protein 17 homolog),830,Other,,0,31.08,192,8,0.21,Low,23.855,10.241,Homo sapiens,human,high,-850.0,10.16457872758536,-0.8225267956274231,-166.0,-246.0,14.0,-111.0,Low
Q8IWS0,PHF6 CENP-31 KIAA1823,PHD finger protein 6 (PHD-like zinc finger protein),365,Other,,0,64.66,212,7,0.352,Medium,30.411,5.753,Homo sapiens,human,high,-7.0,92.5792188651437,0.742170928266941,-11.0,-62.0,42.0,-20.0,Low
Q86WP2,GPBP1 GPBP SSH6,Vasculin (GC-rich promoter-binding protein 1) (Vascular wall-linked protein),473,Other,,0,90.27,416,6,0.458,Medium,28.964,7.4,Homo sapiens,human,high,365.0,99.04691721935644,1.4326425217292225,55.0,-51.0,87.0,71.0,High
Q8IUX4,APOBEC3F,DNA dC->dU-editing enzyme APOBEC-3F (EC 3.5.4.38) (Apolipoprotein B mRNA-editing enzyme catalytic polypeptide-like 3F) (A3F),373,Other,,0,16.89,55,4,0.172,Low,23.861,18.767,Homo sapiens,human,high,-425.0,37.03267010562516,-0.0336815611611067,-59.0,-88.0,2.0,-40.0,Low
Q8IXH7,NELFCD NELFD TH1 TH1L HSPC130,Negative elongation factor C/D (NELF-C/D) (TH1-like protein),590,Other,,0,32.03,134,4,0.206,Low,22.203,8.136,Homo sapiens,human,high,-841.0,10.33407025300909,-0.8058218377210775,-163.0,-158.0,-64.0,-50.0,Low
Q8IXM3,MRPL41 BMRP MRPL27 RPML27 PIG3,"Large ribosomal subunit protein mL41 (39S ribosomal protein L41, mitochondrial) (L41mt) (MRP-L41) (Bcl-2-interacting mitochondrial ribosomal protein L41) (Cell proliferation-inducing gene 3 protein) (MRP-L27 homolog)",137,Other,,0,66.42,90,2,0.372,Medium,27.737,12.409,Homo sapiens,human,high,-48.0,88.61213461066077,0.6660705644713669,-17.0,-27.0,-1.0,11.0,Low
Q8IY21,DDX60,Probable ATP-dependent RNA helicase DDX60 (EC 3.6.4.13) (DEAD box protein 60),1712,Helicase,Helicase,1,30.67,406,17,0.214,Low,25.993,10.28,Homo sapiens,human,high,-2074.0,1.208548268238762,-3.0944010708904144,-290.0,-564.0,-125.0,-258.0,Low
Q8IY37,DHX37 DDX37 KIAA1517,Probable ATP-dependent RNA helicase DHX37 (EC 3.6.4.13) (DEAH box protein 37),1157,Helicase,Helicase,1,53.93,538,15,0.309,Medium,27.744,6.482,Homo sapiens,human,high,-1044.0,6.347334807172685,-1.182611443830871,-213.0,-333.0,-16.0,-33.0,Low
Q8IY81,FTSJ3 SB92,pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3 (EC 2.1.1.-) (Protein ftsJ homolog 3) (Putative rRNA methyltransferase 3),847,Other,,0,76.27,589,13,0.413,Medium,35.655,5.903,Homo sapiens,human,high,-533.0,27.894866126258908,-0.234141056037253,-176.0,-206.0,12.0,-40.0,Low
Q8IYD1,GSPT2 ERF3B,Eukaryotic peptide chain release factor GTP-binding subunit ERF3B (Eukaryotic peptide chain release factor subunit 3b) (eRF3b) (EC 3.6.5.-) (G1 to S phase transition protein 2 homolog),628,Other,,0,53.66,274,7,0.306,Medium,26.911,6.369,Homo sapiens,human,high,-138.0,75.2075657086711,0.4990209854079116,-57.0,-125.0,42.0,20.0,Low
Q8IYB8,SUPV3L1 SUV3,"ATP-dependent RNA helicase SUPV3L1, mitochondrial (EC 3.6.4.13) (Suppressor of var1 3-like protein 1) (SUV3-like protein 1)",786,Helicase,Helicase,1,44.66,298,10,0.264,Low,24.173,7.888,Homo sapiens,human,high,-803.0,11.441906165561289,-0.7352897932276187,-158.0,-223.0,-43.0,-51.0,Low
Q8IYX4,DND1 RBMS4,"Dead end protein homolog 1 (RNA-binding motif, single-stranded-interacting protein 4)",353,RRM-containing,RRM,1,56.66,159,6,0.301,Medium,18.98,7.082,Homo sapiens,human,high,-304.0,51.32891181527881,0.1909073173575386,-47.0,-107.0,-37.0,19.0,Low
Q8IZH2,XRN1 SEP1,5'-3' exoribonuclease 1 (EC 3.1.13.-) (Strand-exchange protein 1 homolog),1706,Other,,0,47.89,651,21,0.28,Low,23.974,9.672,Homo sapiens,human,high,-933.0,8.189633996561042,-0.9765836296526096,-198.0,-340.0,100.0,-69.0,Low
Q8IWZ8,SUGP1 SF4,SURP and G-patch domain-containing protein 1 (RNA-binding protein RBP) (Splicing factor 4),645,Other,,0,84.65,519,10,0.439,Medium,29.457,7.442,Homo sapiens,human,high,-214.0,63.73372635716041,0.3579568964209939,-47.0,-112.0,-12.0,53.0,Low
