accession	species	length	disorder_content	n_disordered_residues	n_disordered_regions	longest_idr	idr_source
Q99P88	Mus_musculus	1391	0.04	55	2	28	prediction-disorder-mobidb_lite
P59279	Mus_musculus	216	0.13	28	1	28	prediction-disorder-mobidb_lite
Q8C3P7	Mus_musculus	580	0.155	90	2	70	prediction-disorder-mobidb_lite
Q9JIX8	Mus_musculus	1338	0.786	1052	5	712	prediction-disorder-mobidb_lite
Q9D0K2	Mus_musculus	520	0.046	24	3	15	prediction-disorder-th_50
Q5HZJ0	Mus_musculus	1373	0.318	437	3	288	prediction-disorder-mobidb_lite
Q8CCS6	Mus_musculus	302	0.368	111	1	111	prediction-disorder-mobidb_lite
O88532	Mus_musculus	1074	0.152	163	6	36	prediction-disorder-mobidb_lite
Q9DB96	Mus_musculus	315	0.419	132	3	68	prediction-disorder-mobidb_lite
P11031	Mus_musculus	127	0.496	63	1	63	prediction-disorder-mobidb_lite
P80316	Mus_musculus	541	0.026	14	4	7	prediction-disorder-th_50
Q9D0R2	Mus_musculus	722	0.066	48	1	48	prediction-disorder-mobidb_lite
Q9EP71	Mus_musculus	979	0.115	113	3	53	prediction-disorder-mobidb_lite
Q9DCA5	Mus_musculus	353	0.198	70	2	50	prediction-disorder-mobidb_lite
Q80WJ7	Mus_musculus	579	0.774	448	2	303	prediction-disorder-mobidb_lite
P29341	Mus_musculus	636	0.143	91	6	43	prediction-disorder-th_50
P63101	Mus_musculus	245	0.049	12	1	12	curated-disorder-merge
Q6PAC3	Mus_musculus	445	0.085	38	4	26	prediction-disorder-th_50
Q8CCH7	Mus_musculus	1151	0.272	313	6	98	prediction-disorder-mobidb_lite
Q91WK2	Mus_musculus	352	0.193	68	2	34	prediction-disorder-mobidb_lite
Q9CX11	Mus_musculus	249	0.281	70	1	70	prediction-disorder-mobidb_lite
Q61550	Mus_musculus	635	0.228	145	3	74	prediction-disorder-mobidb_lite
P52760	Mus_musculus	135	0.03	4	1	4	prediction-disorder-th_50
Q9ES83	Mus_musculus	358	0.106	38	1	38	prediction-disorder-mobidb_lite
Q9R226	Mus_musculus	346	0.246	85	2	55	prediction-disorder-mobidb_lite
P60229	Mus_musculus	445	0.052	23	4	9	prediction-disorder-th_50
Q9JIX0	Mus_musculus	101	0.149	15	3	10	prediction-disorder-th_50
Q8C2E7	Mus_musculus	1159	0.013	15	2	13	prediction-disorder-th_50
Q8BJS8	Mus_musculus	894	0.164	147	2	122	prediction-disorder-mobidb_lite
Q9D1P0	Mus_musculus	178	0.084	15	2	8	prediction-disorder-th_50
G5E8P1	Mus_musculus	1058	0.099	105	3	57	prediction-disorder-mobidb_lite
Q3UGE6	Mus_musculus	683	0.057	39	1	39	prediction-disorder-mobidb_lite
P46061	Mus_musculus	589	0.136	80	1	80	prediction-disorder-mobidb_lite
B7ZMP1	Mus_musculus	506	0.089	45	10	12	prediction-disorder-th_50
Q99L47	Mus_musculus	371	0.229	85	2	43	prediction-disorder-mobidb_lite
Q3UKU4	Mus_musculus	495	0.271	134	2	112	prediction-disorder-mobidb_lite
Q9R1E6	Mus_musculus	862	0.036	31	10	11	prediction-disorder-th_50
Q9JMK2	Mus_musculus	416	0.279	116	1	116	prediction-disorder-mobidb_lite
Q8VDD5	Mus_musculus	1960	0.089	175	6	51	prediction-disorder-mobidb_lite
Q9CQZ5	Mus_musculus	131	0.16	21	4	9	prediction-disorder-th_50
Q91YR1	Mus_musculus	350	0.097	34	1	34	prediction-disorder-mobidb_lite
Q9Z1S5	Mus_musculus	350	0.149	52	2	29	prediction-disorder-mobidb_lite
Q3V188	Mus_musculus	412	0.107	44	6	21	prediction-disorder-th_50
P23475	Mus_musculus	608	0.087	53	2	29	prediction-disorder-mobidb_lite
Q9D2C6	Mus_musculus	204	0.137	28	3	22	prediction-disorder-th_50
Q99KI0	Mus_musculus	780	0.047	37	1	37	prediction-disorder-mobidb_lite
Q9DAN6	Mus_musculus	167	0.084	14	2	7	prediction-disorder-th_50
P41183	Mus_musculus	707	0.199	141	2	76	prediction-disorder-mobidb_lite
Q8VHN8	Mus_musculus	211	0.09	19	3	10	prediction-disorder-th_50
Q7TQ48	Mus_musculus	472	0.064	30	2	27	prediction-disorder-th_50
Q3V362	Mus_musculus	622	0.04	25	1	25	prediction-disorder-mobidb_lite
Q922P9	Mus_musculus	546	0.178	97	1	97	prediction-disorder-mobidb_lite
Q3UM18	Mus_musculus	644	0.234	151	3	93	prediction-disorder-mobidb_lite
A0A2R8VJU7	Mus_musculus	357	0.137	49	2	27	prediction-disorder-mobidb_lite
Q9D0M3	Mus_musculus	325	0.203	66	10	18	prediction-disorder-th_50
Q91WA6	Mus_musculus	380	0.108	41	1	41	curated-disorder-merge
P97452	Mus_musculus	732	0.127	93	1	93	prediction-disorder-mobidb_lite
Q9QXS1	Mus_musculus	4691	0.098	458	10	95	prediction-disorder-mobidb_lite
G5E8B9	Mus_musculus	1050	0.209	219	4	142	prediction-disorder-mobidb_lite
Q8C3X8	Mus_musculus	702	0.061	43	1	43	prediction-disorder-mobidb_lite
E9Q9D5	Mus_musculus	223	0.108	24	1	24	prediction-disorder-mobidb_lite
Q99LW6	Mus_musculus	179	0.788	141	3	71	prediction-disorder-mobidb_lite
Q9CZ96	Mus_musculus	217	0.452	98	1	98	prediction-disorder-mobidb_lite
Q9CY28	Mus_musculus	285	0.042	12	2	8	prediction-disorder-th_50
P97469	Mus_musculus	269	0.138	37	1	37	prediction-disorder-mobidb_lite
Q99K01	Mus_musculus	787	0.169	133	2	106	prediction-disorder-mobidb_lite
Q8VDG3	Mus_musculus	624	0.099	62	1	62	prediction-disorder-mobidb_lite
Q6AXF6	Mus_musculus	827	0.08	66	1	66	prediction-disorder-mobidb_lite
Q6PGB6	Mus_musculus	169	0.142	24	3	14	prediction-disorder-th_50
B8ZXI1	Mus_musculus	415	0.084	35	1	35	curated-disorder-merge
Q9Z2Q5	Mus_musculus	206	0.097	20	1	20	prediction-disorder-mobidb_lite
Q8K0L9	Mus_musculus	741	0.205	152	3	91	prediction-disorder-mobidb_lite
Q9EQM6	Mus_musculus	773	0.207	160	5	70	prediction-disorder-mobidb_lite
Q8BNV1	Mus_musculus	613	0.075	46	1	46	prediction-disorder-mobidb_lite
O88848	Mus_musculus	186	0.027	5	3	2	prediction-disorder-th_50
Q9CZT6	Mus_musculus	276	0.33	91	1	91	prediction-disorder-mobidb_lite
Q811D0	Mus_musculus	905	0.069	62	2	32	prediction-disorder-mobidb_lite
Q9CQ49	Mus_musculus	156	0.212	33	1	33	prediction-disorder-mobidb_lite
Q9Z321	Mus_musculus	862	0.042	36	1	36	prediction-disorder-mobidb_lite
Q8K1M6	Mus_musculus	736	0.076	56	2	33	prediction-disorder-mobidb_lite
Q8BYL4	Mus_musculus	472	0.013	6	1	6	prediction-disorder-th_50
Q62351	Mus_musculus	763	0.073	56	9	15	prediction-disorder-th_50
Q91Z49	Mus_musculus	317	0.082	26	1	26	prediction-disorder-mobidb_lite
P13439	Mus_musculus	481	0.029	14	6	6	prediction-disorder-th_50
Q9D4V7	Mus_musculus	236	0.064	15	4	6	prediction-disorder-th_50
P49710	Mus_musculus	486	0.422	205	1	205	prediction-disorder-mobidb_lite
Q6PDN3	Mus_musculus	1941	0.195	378	5	201	prediction-disorder-mobidb_lite
P84091	Mus_musculus	435	0.064	28	5	13	prediction-disorder-th_50
P62996	Mus_musculus	288	0.663	191	3	114	prediction-disorder-mobidb_lite
P10630	Mus_musculus	407	0.054	22	1	22	prediction-disorder-mobidb_lite
Q640N2	Mus_musculus	427	0.475	203	2	159	prediction-disorder-mobidb_lite
Q9D0N7	Mus_musculus	572	0.297	170	1	170	prediction-disorder-mobidb_lite
Q9DB20	Mus_musculus	213	0.089	19	2	15	prediction-disorder-th_50
Q9QX47	Mus_musculus	2444	0.262	640	7	271	prediction-disorder-mobidb_lite
Q8CHC4	Mus_musculus	1574	0.309	487	3	299	prediction-disorder-mobidb_lite
P08228	Mus_musculus	154	0.429	66	8	31	prediction-disorder-th_50
Q7TSH6	Mus_musculus	1183	0.503	595	5	264	prediction-disorder-mobidb_lite
Q61466	Mus_musculus	515	0.249	128	1	128	prediction-disorder-mobidb_lite
Q9ERG0	Mus_musculus	753	0.571	430	7	165	prediction-disorder-mobidb_lite
Q8BWW4	Mus_musculus	719	0.376	270	6	105	prediction-disorder-mobidb_lite
P81269	Mus_musculus	269	0.335	90	1	90	prediction-disorder-mobidb_lite
P97473	Mus_musculus	365	0.219	80	7	19	prediction-disorder-th_50
Q9Z0F7	Mus_musculus	123	0.268	33	1	33	prediction-disorder-mobidb_lite
Q9JI57	Mus_musculus	1104	0.147	162	4	51	prediction-disorder-mobidb_lite
O35710	Mus_musculus	429	0.112	48	1	48	prediction-disorder-mobidb_lite
P97447	Mus_musculus	280	0.018	5	1	5	prediction-disorder-th_50
Q9WUK4	Mus_musculus	349	0.077	27	1	27	prediction-disorder-mobidb_lite
Q9CQJ6	Mus_musculus	198	0.192	38	1	38	prediction-disorder-mobidb_lite
Q80X82	Mus_musculus	1288	0.16	206	3	126	prediction-disorder-mobidb_lite
Q9CQH8	Mus_musculus	122	0.115	14	2	9	prediction-disorder-th_50
P18572	Mus_musculus	389	0.087	34	1	34	prediction-disorder-mobidb_lite
Q99KC8	Mus_musculus	793	0.063	50	8	13	prediction-disorder-th_50
Q8CG70	Mus_musculus	732	0.107	78	2	57	prediction-disorder-mobidb_lite
Q3ULW8	Mus_musculus	533	0.056	30	1	30	prediction-disorder-mobidb_lite
Q9Z0P5	Mus_musculus	349	0.08	28	1	28	prediction-disorder-mobidb_lite
Q8JZX3	Mus_musculus	405	0.099	40	1	40	prediction-disorder-mobidb_lite
Q99MW1	Mus_musculus	1018	0.03	31	1	31	prediction-disorder-mobidb_lite
P17751	Mus_musculus	249	0.036	9	3	5	prediction-disorder-th_50
P35283	Mus_musculus	243	0.148	36	1	36	prediction-disorder-mobidb_lite
P57724	Mus_musculus	403	0.171	69	6	24	prediction-disorder-th_50
Q8VE22	Mus_musculus	177	0.186	33	1	33	prediction-disorder-mobidb_lite
Q3UZY0	Mus_musculus	1216	0.062	75	3	28	prediction-disorder-mobidb_lite
Q9D2G5	Mus_musculus	1434	0.171	245	5	79	prediction-disorder-mobidb_lite
Q07113	Mus_musculus	2483	0.028	69	1	69	prediction-disorder-mobidb_lite
P40201	Mus_musculus	1711	0.33	564	6	250	prediction-disorder-mobidb_lite
Q3U4L8	Mus_musculus	781	0.092	72	13	18	prediction-disorder-th_50
Q3URR7	Mus_musculus	782	0.176	138	4	37	prediction-disorder-mobidb_lite
Q6A068	Mus_musculus	802	0.152	122	3	53	prediction-disorder-mobidb_lite
Q14CH7	Mus_musculus	980	0.083	81	12	20	prediction-disorder-th_50
Q9D1I6	Mus_musculus	145	0.041	6	2	5	prediction-disorder-th_50
P11499	Mus_musculus	724	0.11	80	2	49	prediction-disorder-mobidb_lite
Q3UJK4	Mus_musculus	602	0.078	47	1	47	prediction-disorder-mobidb_lite
Q99N85	Mus_musculus	196	0.158	31	4	19	prediction-disorder-th_50
Q3UFY0	Mus_musculus	244	0.41	100	2	74	prediction-disorder-mobidb_lite
O54825	Mus_musculus	436	0.236	103	1	103	prediction-disorder-mobidb_lite
Q9DBY0	Mus_musculus	795	0.34	270	5	83	prediction-disorder-mobidb_lite
Q9ESU6	Mus_musculus	1400	0.761	1066	5	451	prediction-disorder-mobidb_lite
Q9DBC3	Mus_musculus	837	0.079	66	1	66	prediction-disorder-mobidb_lite
Q8BK30	Mus_musculus	104	0.298	31	1	31	prediction-disorder-mobidb_lite
Q9DBR0	Mus_musculus	687	0.281	193	4	103	prediction-disorder-mobidb_lite
Q62234	Mus_musculus	1667	0.074	124	2	98	prediction-disorder-mobidb_lite
O88286	Mus_musculus	1684	0.267	450	8	92	prediction-disorder-mobidb_lite
Q6P5D8	Mus_musculus	2007	0.012	24	1	24	prediction-disorder-mobidb_lite
Q9D0F1	Mus_musculus	642	0.168	108	10	27	prediction-disorder-th_50
Q9QXY6	Mus_musculus	535	0.067	36	5	16	prediction-disorder-th_50
Q03963	Mus_musculus	515	0.041	21	1	21	prediction-disorder-mobidb_lite
P53569	Mus_musculus	1052	0.237	249	5	94	prediction-disorder-mobidb_lite
Q9WV55	Mus_musculus	249	0.129	32	1	32	prediction-disorder-mobidb_lite
Q921F4	Mus_musculus	591	0.203	120	1	120	prediction-disorder-mobidb_lite
Q8BL97	Mus_musculus	267	0.434	116	1	116	prediction-disorder-mobidb_lite
Q6PB66	Mus_musculus	1392	0.031	43	7	13	prediction-disorder-th_50
P42125	Mus_musculus	289	0.031	9	2	6	prediction-disorder-th_50
Q497V5	Mus_musculus	982	0.156	153	1	153	prediction-disorder-mobidb_lite
Q9D1G0	Mus_musculus	278	0.029	8	3	4	prediction-disorder-th_50
P43247	Mus_musculus	935	0.013	12	2	7	prediction-disorder-th_50
Q99KB8	Mus_musculus	309	0.081	25	3	10	prediction-disorder-th_50
Q6PGH2	Mus_musculus	190	1	190	1	190	prediction-disorder-mobidb_lite
Q9DC40	Mus_musculus	840	0.065	55	1	55	prediction-disorder-mobidb_lite
Q9D1B9	Mus_musculus	257	0.152	39	8	13	prediction-disorder-th_50
Q9CYI4	Mus_musculus	371	0.377	140	1	140	prediction-disorder-mobidb_lite
Q62241	Mus_musculus	159	0.22	35	1	35	prediction-disorder-mobidb_lite
Q9D0D3	Mus_musculus	585	0.084	49	1	49	prediction-disorder-mobidb_lite
Q64318	Mus_musculus	1117	0.416	465	8	127	prediction-disorder-mobidb_lite
Q9CZB3	Mus_musculus	528	0.134	71	2	47	prediction-disorder-mobidb_lite
Q9D7M8	Mus_musculus	142	0.254	36	3	19	prediction-disorder-th_50
Q9D5P4	Mus_musculus	561	0.094	53	1	53	prediction-disorder-mobidb_lite
Q7TSY6	Mus_musculus	486	0.105	51	2	29	prediction-disorder-mobidb_lite
Q91WG4	Mus_musculus	831	0.052	43	5	21	prediction-disorder-th_50
Q8R3N6	Mus_musculus	657	0.099	65	2	37	prediction-disorder-mobidb_lite
Q9Z0H1	Mus_musculus	622	0.339	211	2	135	prediction-disorder-mobidb_lite
Q9CQE0	Mus_musculus	245	0.11	27	1	27	prediction-disorder-mobidb_lite
Q8C754	Mus_musculus	723	0.043	31	4	19	prediction-disorder-th_50
Q7JJ13	Mus_musculus	798	0.474	378	5	192	prediction-disorder-mobidb_lite
P38647	Mus_musculus	679	0.035	24	1	24	prediction-disorder-mobidb_lite
Q8BWY3	Mus_musculus	437	0.062	27	5	9	prediction-disorder-th_50
P19426	Mus_musculus	375	0.568	213	2	184	prediction-disorder-mobidb_lite
O08539	Mus_musculus	588	0.194	114	2	77	prediction-disorder-mobidb_lite
P49135	Mus_musculus	783	0.066	52	1	52	prediction-disorder-mobidb_lite
P67871	Mus_musculus	215	0.102	22	3	8	prediction-disorder-th_50
Q9Z1R2	Mus_musculus	1154	0.473	546	7	187	prediction-disorder-mobidb_lite
Q7TSC1	Mus_musculus	2158	0.924	1995	6	1033	prediction-disorder-mobidb_lite
Q8K4P0	Mus_musculus	1330	0.575	765	1	765	prediction-disorder-mobidb_lite
Q9DBU3	Mus_musculus	519	0.073	38	1	38	prediction-disorder-mobidb_lite
P20263	Mus_musculus	352	0.207	73	2	48	prediction-disorder-mobidb_lite
Q99N92	Mus_musculus	148	0.142	21	1	21	prediction-disorder-mobidb_lite
G3X8X0	Mus_musculus	1044	0.112	117	1	117	prediction-disorder-mobidb_lite
P36916	Mus_musculus	607	0.239	145	2	81	prediction-disorder-mobidb_lite
Q99N84	Mus_musculus	254	0.146	37	1	37	prediction-disorder-mobidb_lite
Q8R040	Mus_musculus	150	0.2	30	1	30	prediction-disorder-mobidb_lite
Q9CYC6	Mus_musculus	422	0.239	101	1	101	prediction-disorder-mobidb_lite
Q9Z1M8	Mus_musculus	557	0.402	224	3	109	prediction-disorder-mobidb_lite
E9Q1M6	Mus_musculus	2485	0.212	528	8	159	prediction-disorder-mobidb_lite
Q5SFM8	Mus_musculus	1060	0.39	413	7	119	prediction-disorder-mobidb_lite
Q8BMJ2	Mus_musculus	1178	0.069	81	12	21	prediction-disorder-th_50
Q8CGF7	Mus_musculus	1100	0.281	309	6	90	prediction-disorder-mobidb_lite
P51660	Mus_musculus	735	0.034	25	6	8	prediction-disorder-th_50
Q8C255	Mus_musculus	478	0.063	30	1	30	prediction-disorder-mobidb_lite
Q8JZQ2	Mus_musculus	802	0.116	93	2	49	prediction-disorder-mobidb_lite
Q9CZ91	Mus_musculus	441	0.624	275	3	206	prediction-disorder-mobidb_lite
P30412	Mus_musculus	212	0.09	19	3	13	prediction-disorder-th_50
E9Q4Y4	Mus_musculus	2514	0.062	156	5	41	prediction-disorder-mobidb_lite
P31428	Mus_musculus	410	0.012	5	1	5	prediction-disorder-th_50
Q62255	Mus_musculus	1320	0.344	454	6	97	prediction-disorder-mobidb_lite
Q8BK63	Mus_musculus	337	0.086	29	1	29	prediction-disorder-mobidb_lite
Q8CDN6	Mus_musculus	289	0.17	49	4	18	prediction-disorder-th_50
Q8BP47	Mus_musculus	559	0.038	21	1	21	prediction-disorder-mobidb_lite
P22315	Mus_musculus	422	0.095	40	6	21	prediction-disorder-th_50
P14733	Mus_musculus	588	0.131	77	2	43	prediction-disorder-mobidb_lite
Q8BHS3	Mus_musculus	420	0.214	90	2	49	prediction-disorder-mobidb_lite
P62264	Mus_musculus	151	0.139	21	1	21	prediction-disorder-mobidb_lite
O08784	Mus_musculus	1320	0.93	1228	2	1082	prediction-disorder-mobidb_lite
Q9D1A2	Mus_musculus	475	0.021	10	7	2	prediction-disorder-th_50
P10107	Mus_musculus	346	0.023	8	3	4	prediction-disorder-th_50
Q9Z0R9	Mus_musculus	444	0.047	21	1	21	prediction-disorder-mobidb_lite
Q99N93	Mus_musculus	251	0.124	31	6	12	prediction-disorder-th_50
Q9JJ89	Mus_musculus	426	1	426	1	426	prediction-disorder-mobidb_lite
Q99KP6	Mus_musculus	504	0.056	28	8	11	prediction-disorder-th_50
Q3U1J4	Mus_musculus	1140	0.028	32	5	11	prediction-disorder-th_50
Q9WVK4	Mus_musculus	534	0.067	36	5	17	prediction-disorder-th_50
Q9JJT0	Mus_musculus	373	0.035	13	3	8	prediction-disorder-th_50
Q80WE4	Mus_musculus	1774	0.067	119	3	60	prediction-disorder-mobidb_lite
O88796	Mus_musculus	268	0.078	21	3	10	prediction-disorder-th_50
Q3UES3	Mus_musculus	1166	0.099	115	14	25	prediction-disorder-th_50
Q9Z0U1	Mus_musculus	1167	0.393	459	5	152	prediction-disorder-mobidb_lite
Q61103	Mus_musculus	391	0.353	138	3	69	prediction-disorder-mobidb_lite
Q9D1N9	Mus_musculus	209	0.1	21	7	7	prediction-disorder-th_50
P40694	Mus_musculus	993	0.203	202	4	74	prediction-disorder-mobidb_lite
Q9WUM3	Mus_musculus	484	0.089	43	1	43	prediction-disorder-mobidb_lite
Q3THJ3	Mus_musculus	170	0.347	59	1	59	prediction-disorder-mobidb_lite
Q3UJB0	Mus_musculus	878	0.503	442	6	174	prediction-disorder-mobidb_lite
Q9D1G1	Mus_musculus	201	0.139	28	1	28	prediction-disorder-mobidb_lite
Q9CQF0	Mus_musculus	192	0.104	20	2	10	prediction-disorder-th_50
Q6DIC0	Mus_musculus	1577	0.318	502	7	136	prediction-disorder-mobidb_lite
Q9WTJ2	Mus_musculus	267	0.094	25	7	8	prediction-disorder-th_50
Q9CQ18	Mus_musculus	166	0.193	32	4	19	prediction-disorder-th_50
Q8CHK4	Mus_musculus	513	0.261	134	2	96	prediction-disorder-mobidb_lite
Q9EQC5	Mus_musculus	806	0.249	201	2	144	prediction-disorder-mobidb_lite
Q8CG46	Mus_musculus	1101	0.04	44	1	44	prediction-disorder-mobidb_lite
Q9D0J4	Mus_musculus	184	0.027	5	2	3	prediction-disorder-th_50
O88559	Mus_musculus	611	0.154	94	1	94	prediction-disorder-mobidb_lite
Q64213	Mus_musculus	653	0.577	377	4	260	prediction-disorder-mobidb_lite
P51432	Mus_musculus	1234	0.185	228	4	123	prediction-disorder-mobidb_lite
Q60864	Mus_musculus	543	0.079	43	1	43	prediction-disorder-mobidb_lite
Q05512	Mus_musculus	776	0.392	304	2	258	prediction-disorder-mobidb_lite
Q9CW03	Mus_musculus	1217	0.048	59	2	32	prediction-disorder-mobidb_lite
Q61823	Mus_musculus	469	0.23	108	2	71	prediction-disorder-mobidb_lite
O88520	Mus_musculus	582	0.151	88	1	88	prediction-disorder-mobidb_lite
P23116	Mus_musculus	1344	0.376	506	3	375	prediction-disorder-mobidb_lite
Q8VI84	Mus_musculus	807	0.114	92	2	67	prediction-disorder-mobidb_lite
Q60848	Mus_musculus	821	0.052	43	1	43	prediction-disorder-mobidb_lite
Q8BGT7	Mus_musculus	238	0.34	81	17	20	prediction-disorder-th_50
Q9QYB5	Mus_musculus	706	0.232	164	5	56	prediction-disorder-mobidb_lite
Q9WUL7	Mus_musculus	182	0.038	7	3	4	prediction-disorder-th_50
P30204	Mus_musculus	458	0.188	86	1	86	prediction-disorder-mobidb_lite
Q6NS46	Mus_musculus	1862	0.13	242	4	115	prediction-disorder-mobidb_lite
Q99MV1	Mus_musculus	1172	0.106	124	2	65	prediction-disorder-mobidb_lite
Q8C0D0	Mus_musculus	338	0.169	57	7	22	prediction-disorder-th_50
O35914	Mus_musculus	961	0.16	154	4	55	prediction-disorder-mobidb_lite
P09103	Mus_musculus	509	0.081	41	2	39	prediction-disorder-th_50
Q99PT1	Mus_musculus	204	0.176	36	1	36	prediction-disorder-mobidb_lite
O08583	Mus_musculus	255	0.604	154	2	83	prediction-disorder-mobidb_lite
Q9QYH6	Mus_musculus	775	0.461	357	3	294	prediction-disorder-mobidb_lite
P19096	Mus_musculus	2504	0.01	25	1	25	prediction-disorder-mobidb_lite
Q8C2P3	Mus_musculus	475	0.097	46	1	46	prediction-disorder-mobidb_lite
Q99LD4	Mus_musculus	471	0.057	27	1	27	prediction-disorder-mobidb_lite
Q8BJM3	Mus_musculus	775	0.227	176	3	127	prediction-disorder-mobidb_lite
Q8CI33	Mus_musculus	537	0.05	27	1	27	prediction-disorder-mobidb_lite
Q99N89	Mus_musculus	183	0.257	47	2	25	prediction-disorder-mobidb_lite
Q3ULA2	Mus_musculus	605	0.069	42	4	17	prediction-disorder-th_50
Q9QXE2	Mus_musculus	573	0.173	99	2	79	prediction-disorder-mobidb_lite
Q6P6P7	Mus_musculus	630	0.04	25	3	19	prediction-disorder-th_50
Q9JJN2	Mus_musculus	3550	0.26	923	16	106	prediction-disorder-mobidb_lite
O08756	Mus_musculus	261	0.057	15	4	6	prediction-disorder-th_50
Q7TMY8	Mus_musculus	4377	0.242	1058	20	267	prediction-disorder-mobidb_lite
Q8C3F2	Mus_musculus	1091	0.211	230	4	73	prediction-disorder-mobidb_lite
Q8C8T8	Mus_musculus	191	0.188	36	1	36	prediction-disorder-mobidb_lite
Q6PGG6	Mus_musculus	577	0.13	75	1	75	prediction-disorder-mobidb_lite
Q68G58	Mus_musculus	516	0.064	33	1	33	prediction-disorder-mobidb_lite
Q80X90	Mus_musculus	2602	0.019	50	2	26	prediction-disorder-mobidb_lite
O55070	Mus_musculus	310	0.074	23	2	16	prediction-disorder-th_50
B2RXC6	Mus_musculus	1390	0.012	17	4	9	prediction-disorder-th_50
Q9R0X4	Mus_musculus	439	0.027	12	4	5	prediction-disorder-th_50
O08807	Mus_musculus	274	0.113	31	1	31	curated-disorder-merge
P62849	Mus_musculus	133	0.316	42	1	42	prediction-disorder-mobidb_lite
P70122	Mus_musculus	250	0.068	17	2	11	prediction-disorder-th_50
Q9DD20	Mus_musculus	244	0.02	5	2	4	prediction-disorder-th_50
P62855	Mus_musculus	115	0.27	31	1	31	prediction-disorder-mobidb_lite
P50580	Mus_musculus	394	0.094	37	1	37	prediction-disorder-mobidb_lite
Q3U7R1	Mus_musculus	1092	0.082	90	3	36	prediction-disorder-mobidb_lite
Q8R2Y9	Mus_musculus	212	0.486	103	1	103	prediction-disorder-mobidb_lite
P56480	Mus_musculus	529	0.057	30	8	7	prediction-disorder-th_50
Q9CZN7	Mus_musculus	504	0.071	36	7	17	prediction-disorder-th_50
Q80TM6	Mus_musculus	1044	0.409	427	9	89	prediction-disorder-mobidb_lite
Q03265	Mus_musculus	553	0.016	9	4	4	prediction-disorder-th_50
Q8VE62	Mus_musculus	400	0.142	57	2	36	prediction-disorder-mobidb_lite
Q61941	Mus_musculus	1086	0.027	29	9	7	prediction-disorder-th_50
Q8BH95	Mus_musculus	290	0.028	8	2	6	prediction-disorder-th_50
Q7TNC9	Mus_musculus	412	0.046	19	3	8	prediction-disorder-th_50
Q61411	Mus_musculus	189	0.074	14	4	6	prediction-disorder-th_50
P99027	Mus_musculus	115	0.348	40	1	40	prediction-disorder-mobidb_lite
O35427	Mus_musculus	148	0.169	25	1	25	prediction-disorder-mobidb_lite
Q3UHC0	Mus_musculus	1690	0.609	1029	9	623	prediction-disorder-mobidb_lite
Q8BIF2	Mus_musculus	374	0.281	105	1	105	prediction-disorder-mobidb_lite
Q91VC3	Mus_musculus	411	0.071	29	5	16	prediction-disorder-th_50
Q9CR02	Mus_musculus	221	0.19	42	1	42	prediction-disorder-mobidb_lite
Q9CZ13	Mus_musculus	480	0.019	9	3	4	prediction-disorder-th_50
Q9CQB2	Mus_musculus	160	0.275	44	2	22	prediction-disorder-mobidb_lite
Q8BMS1	Mus_musculus	763	0.022	17	3	10	prediction-disorder-th_50
A0A0G2JFN5	Mus_musculus	14	1	14	1	14	prediction-disorder-th_50
Q6ZPI0	Mus_musculus	834	0.294	245	5	82	prediction-disorder-mobidb_lite
Q91VR2	Mus_musculus	298	0.047	14	3	6	prediction-disorder-th_50
Q9D0M0	Mus_musculus	291	0.058	17	3	8	prediction-disorder-th_50
Q9CR57	Mus_musculus	217	0.258	56	1	56	prediction-disorder-mobidb_lite
P09055	Mus_musculus	798	0.036	29	1	29	prediction-disorder-mobidb_lite
P08003	Mus_musculus	638	0.042	27	1	27	prediction-disorder-mobidb_lite
Q9CPT5	Mus_musculus	178	0.169	30	1	30	prediction-disorder-mobidb_lite
Q9QXJ4	Mus_musculus	243	0.066	16	3	11	prediction-disorder-th_50
Q8VE80	Mus_musculus	351	0.077	27	2	22	prediction-disorder-th_50
O55042	Mus_musculus	140	0.3	42	1	42	prediction-disorder-mobidb_lite
Q8BG79	Mus_musculus	887	0.273	242	3	143	prediction-disorder-mobidb_lite
Q80Y20	Mus_musculus	664	0.09	60	10	17	prediction-disorder-th_50
Q8CJ67	Mus_musculus	570	0.191	109	4	33	prediction-disorder-mobidb_lite
Q99KR3	Mus_musculus	288	0.014	4	2	2	prediction-disorder-th_50
O88844	Mus_musculus	414	0.029	12	2	8	prediction-disorder-th_50
Q01147	Mus_musculus	327	0.223	73	3	27	prediction-disorder-mobidb_lite
Q922E6	Mus_musculus	689	0.026	18	4	6	prediction-disorder-th_50
O70251	Mus_musculus	225	0.191	43	1	43	prediction-disorder-mobidb_lite
Q91VD9	Mus_musculus	727	0.014	10	3	6	prediction-disorder-th_50
Q924M5	Mus_musculus	293	0.133	39	1	39	prediction-disorder-mobidb_lite
P63038	Mus_musculus	573	0.063	36	6	13	prediction-disorder-th_50
Q99NB9	Mus_musculus	1304	0.179	234	3	189	prediction-disorder-mobidb_lite
Q3U821	Mus_musculus	830	0.057	47	1	47	prediction-disorder-mobidb_lite
P51174	Mus_musculus	430	0.053	23	1	23	prediction-disorder-mobidb_lite
Q6DFW4	Mus_musculus	536	0.175	94	2	67	prediction-disorder-mobidb_lite
P63166	Mus_musculus	101	0.356	36	3	18	prediction-disorder-th_50
Q60862	Mus_musculus	576	0.212	122	1	122	prediction-disorder-mobidb_lite
