accession	gene_name	species	protein_type	old_family	length	pfam_ids
Q91YL3	Uckl1	mouse	Kinase	Other	548	PF00485:PRK;PF14681:UPRTase
Q91ZB0	Alpk2	mouse	Kinase	Other	2144	PF02816:Alpha_kinase;PF07679:I-set
Q920P5	Ak5	mouse	Kinase	Other	562	PF00406:ADK
Q922H2	Pdk3	mouse	Kinase	Other	415	PF10436:BCDHK_Adom3;PF02518:HATPase_c
Q922Q2	Riok1	mouse	Kinase	Other	567	PF01163:RIO1
Q99JP0	Map4k3	mouse	Kinase	MAPK	894	PF00780:CNH;PF00069:Pkinase
Q99MW1	Stk31	mouse	Kinase	Other	1018	PF00069:Pkinase;PF00567:TUDOR
Q99PM9	Uck2	mouse	Kinase	Other	261	PF00485:PRK
Q9CQS5	Riok2	mouse	Kinase	Other	547	PF01163:RIO1;PF09202:Rio2_N
Q9DB30	Phkg2	mouse	Kinase	Other	406	PF00069:Pkinase
Q9QUK0	Cdkl2	mouse	Kinase	CDK	568	PF00069:Pkinase
Q9QYK9	Pnck	mouse	Kinase	Other	343	PF00069:Pkinase
Q9QYZ3	Smok2b	mouse	Kinase	Other	484	PF00069:Pkinase
Q9QYZ4	Smok1	mouse	Kinase	Other	484	PF00069:Pkinase
Q9R008	Mvk	mouse	Kinase	Other	395	PF08544:GHMP_kinases_C;PF00288:GHMP_kinases_N
Q9WTP7	Ak3	mouse	Kinase	Other	227	PF00406:ADK;PF05191:ADK_lid
A0AUV4	Gm7168	mouse	Kinase	Other	508	PF00069:Pkinase;PF23312:UBA_SIK3
A2AJL3	Fggy	mouse	Kinase	Other	552	PF02782:FGGY_C;PF00370:FGGY_N
A2AQW0	Map3k15	mouse	Kinase	MAPK	1331	PF19039:ASK_PH;PF20309:DRHyd-ASK;PF20302:HisK-N-like;PF13281:MAP3K_TRAF_bd;PF00069:Pkinase
C0HKC8	Smok3a	mouse	Kinase	Other	504	PF00069:Pkinase
C0HKC9	Smok3b	mouse	Kinase	Other	504	PF00069:Pkinase
E9Q3S4	Map3k19	mouse	Kinase	MAPK	1311	PF00069:Pkinase
O88866	Hunk	mouse	Kinase	Other	714	PF00069:Pkinase
P0C5K0	Sbk3	mouse	Kinase	Other	361	PF00069:Pkinase
P0C5K1	Sbk2	mouse	Kinase	Other	362	PF00069:Pkinase
P58058	Nadk	mouse	Kinase	Other	439	PF01513:NAD_kinase;PF20143:NAD_kinase_C
Q3TNA1	Xylb	mouse	Kinase	Other	551	PF02782:FGGY_C;PF00370:FGGY_N
Q3TZA2	Cdkl4	mouse	Kinase	CDK	342	PF00069:Pkinase
Q5SUV5	Mylk4	mouse	Kinase	Other	386	PF00069:Pkinase
Q5U5V2	Hykk	mouse	Kinase	Other	376	PF01636:APH
Q68FH4	Galk2	mouse	Kinase	Other	458	PF10509:GalKase_gal_bdg;PF08544:GHMP_kinases_C;PF00288:GHMP_kinases_N
Q80V03	Adck5	mouse	Kinase	Other	582	PF03109:ABC1
Q8BHI9	Nim1k	mouse	Kinase	Other	436	PF00069:Pkinase
Q8C0N0	Gm4922	mouse	Kinase	Other	497	PF00069:Pkinase
Q8C0V7	Stk-ps2	mouse	Kinase	Other	499	PF00069:Pkinase
Q8C0X8		mouse	Kinase	Other	640	PF00069:Pkinase
Q8CEQ0	Cdkl1	mouse	Kinase	CDK	352	PF00069:Pkinase
Q8K274	Fn3krp	mouse	Kinase	Other	309	PF03881:Fructosamin_kin
Q8QZR7	Pdik1l	mouse	Kinase	Other	341	PF00069:Pkinase
Q8QZV4	Stk32c	mouse	Kinase	Other	488	PF00069:Pkinase
Q8QZX0	Sbk1	mouse	Kinase	Other	417	PF00069:Pkinase
Q8QZY2	Glyctk	mouse	Kinase	Other	523	PF13660:DUF4147;PF05161:MOFRL
Q8R2S1	Rps6kl1	mouse	Kinase	Other	544	PF04212:MIT;PF00069:Pkinase
Q8R2Y3	Dolk	mouse	Kinase	Other	534	
Q9D0L4	Adck1	mouse	Kinase	Other	525	PF03109:ABC1
Q9D1G2	Pmvk	mouse	Kinase	Other	192	PF04275:P-mevalo_kinase
Q9JJX8	Stk32b	mouse	Kinase	Other	414	PF00069:Pkinase
Q9QYZ6	Smok2a	mouse	Kinase	Other	504	PF00069:Pkinase
Q5SYL1	Rskr	mouse	Kinase	Other	278	PF00069:Pkinase
Q8R0J8	Idnk	mouse	Kinase	Other	184	PF01202:SKI
Q9D4V0	Etnk1	mouse	Kinase	Other	363	PF01633:Choline_kinase
A0A0K3AV08	mlk-1	worm	Kinase	Other	1059	PF07714:PK_Tyr_Ser-Thr;PF14604:SH3_9
B3WFY8	dyf-5	worm	Kinase	Other	489	PF00069:Pkinase
D0Z5N4	gcn-2	worm	Kinase	Other	1699	PF00069:Pkinase;PF05773:RWD;PF13393:tRNA-synt_His
G4SLH0	ttn-1	worm	Kinase	Other	18562	PF00041:fn3;PF07679:I-set;PF13927:Ig_3;PF00069:Pkinase
G5EBT1	sma-5	worm	Kinase	Other	509	PF00069:Pkinase
G5EBZ8	ark-1	worm	Kinase	Other	1043	PF07714:PK_Tyr_Ser-Thr;PF22931:SAM_TNK;PF07653:SH3_2
G5ECH7	cdk-5	worm	Kinase	CDK	292	PF00069:Pkinase
G5ECJ6	csk-1	worm	Kinase	Other	539	PF07714:PK_Tyr_Ser-Thr;PF00017:SH2
G5ECP4	pik-1	worm	Kinase	Other	485	PF00531:Death;PF00069:Pkinase
G5ECQ3	sel-5	worm	Kinase	Other	1077	PF00069:Pkinase
G5EDB2	madd-3	worm	Kinase	Other	887	PF00069:Pkinase
G5EDF7	sek-1	worm	Kinase	Other	336	PF00069:Pkinase
G5EDT6	jkk-1	worm	Kinase	Other	435	PF00069:Pkinase
G5EDY0	piki-1	worm	Kinase	Other	1607	PF00168:C2;PF00454:PI3_PI4_kinase;PF00613:PI3Ka;PF00787:PX
G5EE56	src-1	worm	Kinase	Other	533	PF07714:PK_Tyr_Ser-Thr;PF00017:SH2;PF00018:SH3_1
G5EEN4	gck-3	worm	Kinase	Other	596	PF12202:OSR1_C;PF00069:Pkinase
G5EFD2	ksr-1	worm	Kinase	Other	771	PF07714:PK_Tyr_Ser-Thr
G5EFM9	nekl-3	worm	Kinase	Other	302	PF00069:Pkinase
G5EFU0	pak-2	worm	Kinase	Other	522	PF00786:PBD;PF00069:Pkinase
G5EGK5	cam-1	worm	Kinase	Other	928	PF07679:I-set;PF00051:Kringle;PF07714:PK_Tyr_Ser-Thr
G5EGQ3	max-2	worm	Kinase	Other	646	PF00786:PBD;PF00069:Pkinase
H2KZH5	toe-2	worm	Kinase	Other	621	
H2KZU7	svh-2	worm	Kinase	Other	1086	PF07714:PK_Tyr_Ser-Thr
H2KZW3	zak-1	worm	Kinase	Other	745	PF07714:PK_Tyr_Ser-Thr;PF07647:SAM_2
H2L099	gck-1	worm	Kinase	Other	653	PF20929:PDCD10_N;PF00069:Pkinase
O01427	air-2	worm	Kinase	Other	305	PF00069:Pkinase
O01510	smg-1	worm	Kinase	Other	2322	PF02260:FATC;PF00454:PI3_PI4_kinase;PF15785:SMG1
O01583	mrck-1	worm	Kinase	Other	1592	PF00130:C1_1;PF00780:CNH;PF25346:PH_MRCK;PF00069:Pkinase;PF00433:Pkinase_C
O01700	dlk-1	worm	Kinase	Other	928	PF00069:Pkinase
O01775	nekl-2	worm	Kinase	Other	357	PF00069:Pkinase
O01798	spe-8	worm	Kinase	Other	512	PF07714:PK_Tyr_Ser-Thr;PF00017:SH2
O17622		worm	Kinase	Other	191	PF00406:ADK
O18209	wee-1.3	worm	Kinase	Other	677	PF00069:Pkinase
O44408	kgb-1	worm	Kinase	Other	390	PF00069:Pkinase
O44514	pmk-3	worm	Kinase	Other	474	PF00069:Pkinase
O44959	riok-1	worm	Kinase	Other	506	PF01163:RIO1
O44997	dapk-1	worm	Kinase	Other	1425	PF00023:Ank;PF12796:Ank_2;PF00531:Death;PF00069:Pkinase
O45539	src-2	worm	Kinase	Other	507	PF07714:PK_Tyr_Ser-Thr;PF00017:SH2;PF00018:SH3_1
O45797	wts-1	worm	Kinase	Other	908	PF00069:Pkinase
O45818	dkf-2	worm	Kinase	Other	1070	PF00130:C1_1;PF00169:PH;PF00069:Pkinase;PF25525:Ubiquitin_PRKD1_N
O61460	vab-1	worm	Kinase	Other	1122	PF14575:EphA2_TM;PF01404:Ephrin_lbd;PF00041:fn3;PF07714:PK_Tyr_Ser-Thr;PF22993:SAM_EPH
O61847	cdk-2	worm	Kinase	CDK	368	PF00069:Pkinase
O62305	unc-43	worm	Kinase	Other	720	PF08332:CaMKII_AD;PF00069:Pkinase
O76360	egl-4	worm	Kinase	Other	780	PF00027:cNMP_binding;PF00069:Pkinase
O76411	scd-2	worm	Kinase	Other	1421	PF12810:ALK_LTK_GRD;PF07714:PK_Tyr_Ser-Thr
P03949	abl-1	worm	Kinase	Other	1224	PF08919:F_actin_bind;PF07714:PK_Tyr_Ser-Thr;PF00017:SH2;PF00018:SH3_1
P18334	kin-3	worm	Kinase	Other	360	PF00069:Pkinase
P20792	daf-1	worm	Kinase	Other	669	PF07714:PK_Tyr_Ser-Thr
P21137	kin-1	worm	Kinase	Other	404	PF00069:Pkinase
P24348	let-23	worm	Kinase	Other	1323	PF00757:Furin-like;PF14843:GF_recep_IV;PF07714:PK_Tyr_Ser-Thr;PF01030:Recep_L_domain
P32742	ikke-1	worm	Kinase	Other	820	PF00069:Pkinase
P34331	plk-1	worm	Kinase	PLK	648	PF00069:Pkinase;PF00659:POLO_box
P34556	cdk-1	worm	Kinase	CDK	332	PF00069:Pkinase
P34722	tpa-1	worm	Kinase	Other	704	PF00130:C1_1;PF21494:PKC_C2;PF00069:Pkinase;PF00433:Pkinase_C
P34885	pkc-1	worm	Kinase	Other	707	PF00130:C1_1;PF00168:C2;PF00069:Pkinase;PF00433:Pkinase_C
P39745	mpk-1	worm	Kinase	Other	444	PF00069:Pkinase
P45894	aak-1	worm	Kinase	Other	589	PF21147:AMPK_alpha_AID;PF00069:Pkinase
P46549	kin-18	worm	Kinase	Other	982	PF00069:Pkinase
P46551	cdk-12	worm	Kinase	CDK	730	PF00069:Pkinase
P50488	daf-4	worm	Kinase	Other	744	PF00069:Pkinase
P90980	pkc-2	worm	Kinase	Other	682	PF00130:C1_1;PF00168:C2;PF00069:Pkinase;PF00433:Pkinase_C
P92199	let-502	worm	Kinase	Other	1173	PF00069:Pkinase
Q03563	spk-1	worm	Kinase	Other	1003	PF00069:Pkinase
Q03603	dgk-3	worm	Kinase	Other	795	PF00130:C1_1;PF14513:DAG_kinase_N;PF00609:DAGK_acc;PF00781:DAGK_cat;PF13499:EF-hand_7
Q07292	lin-45	worm	Kinase	Other	813	PF00130:C1_1;PF07714:PK_Tyr_Ser-Thr;PF02196:RBD
Q09298	pink-1	worm	Kinase	Other	641	PF00069:Pkinase
Q09437	cdk-11.1	worm	Kinase	Other	719	PF00069:Pkinase
Q09488	sma-6	worm	Kinase	Other	636	PF01064:Activin_recp;PF00069:Pkinase
Q09499	ire-1	worm	Kinase	Other	967	PF00069:Pkinase;PF06479:Ribonuc_2-5A
Q09595	gskl-1	worm	Kinase	Other	363	PF00069:Pkinase
Q09639	grk-2	worm	Kinase	Other	707	PF00069:Pkinase;PF00615:RGS
Q10656	egl-15	worm	Kinase	Other	1040	PF07679:I-set;PF07714:PK_Tyr_Ser-Thr
Q10664	mek-2	worm	Kinase	Other	387	PF00069:Pkinase
Q10925	sid-3	worm	Kinase	Other	1237	PF09027:GTPase_binding;PF07714:PK_Tyr_Ser-Thr;PF22931:SAM_TNK;PF07653:SH3_2
Q11179	mapk-15	worm	Kinase	MAPK	470	PF00069:Pkinase
Q17446	pmk-1	worm	Kinase	Other	377	PF00069:Pkinase
Q17850	pak-1	worm	Kinase	Other	572	PF00786:PBD;PF00069:Pkinase
Q17941	akt-1	worm	Kinase	AKT	541	PF00169:PH;PF00069:Pkinase;PF00433:Pkinase_C
Q18425	sphk-1	worm	Kinase	Other	473	PF00781:DAGK_cat
Q19192	pek-1	worm	Kinase	Other	1077	PF00069:Pkinase
Q19266	pkc-3	worm	Kinase	Other	597	PF00130:C1_1;PF00564:PB1;PF00069:Pkinase;PF00433:Pkinase_C
Q19469	sad-1	worm	Kinase	Other	914	PF21122:KA1_BRSK;PF00069:Pkinase;PF21115:UBA_BRSK
Q19848	vrk-1	worm	Kinase	Other	610	PF00069:Pkinase
Q20085	wee-1.1	worm	Kinase	Other	468	PF00069:Pkinase
Q20230		worm	Kinase	Other	191	PF00406:ADK
Q20347	mkk-4	worm	Kinase	Other	363	PF00069:Pkinase
Q20471	kin-20	worm	Kinase	Other	497	PF00069:Pkinase
Q21017	kin-29	worm	Kinase	Other	822	PF00069:Pkinase
Q21029	nsy-1	worm	Kinase	Other	1498	PF19039:ASK_PH;PF20309:DRHyd-ASK;PF20302:HisK-N-like;PF13281:MAP3K_TRAF_bd;PF00069:Pkinase
Q21307	mek-1	worm	Kinase	Other	347	PF00069:Pkinase
Q21360	mak-1	worm	Kinase	Other	521	PF00069:Pkinase
Q21734	rskn-1	worm	Kinase	Other	784	PF00069:Pkinase;PF00433:Pkinase_C
Q21776	bub-1	worm	Kinase	Other	987	PF00069:Pkinase
Q22146	frk-1	worm	Kinase	Other	390	PF07714:PK_Tyr_Ser-Thr;PF00017:SH2
Q22258	atl-1	worm	Kinase	Other	2531	PF02260:FATC;PF23593:HEAT_ATR;PF00454:PI3_PI4_kinase
Q22942	cka-2	worm	Kinase	Other	429	PF01633:Choline_kinase
Q23023	unc-51	worm	Kinase	Other	856	PF12063:ATG1-like_MIT1;PF21127:ATG1-like_MIT2;PF00069:Pkinase
Q23356	mig-15	worm	Kinase	Other	1096	PF00780:CNH;PF00069:Pkinase
Q23357	cdk-11.2	worm	Kinase	Other	668	PF00069:Pkinase
Q23551	unc-22	worm	Kinase	Other	7158	PF00041:fn3;PF07679:I-set;PF00069:Pkinase
Q2L6W9	sax-1	worm	Kinase	Other	476	PF00069:Pkinase;PF00433:Pkinase_C
Q2PJ68	sgk-1	worm	Kinase	Other	463	PF00069:Pkinase
Q3Y416	ckk-1	worm	Kinase	Other	541	PF00069:Pkinase
Q8I113	mnk-1	worm	Kinase	Other	707	PF00069:Pkinase
Q8I7M8	pct-1	worm	Kinase	CDK	667	PF00069:Pkinase
Q8MQ70	hpk-1	worm	Kinase	Other	846	PF00069:Pkinase
Q8MXI4	pmk-2	worm	Kinase	Other	419	PF00069:Pkinase
Q8WQ99	csnk-1	worm	Kinase	Other	407	PF00069:Pkinase
Q8WQG9	jnk-1	worm	Kinase	Other	463	PF00069:Pkinase
Q8WQL7	mbk-1	worm	Kinase	Other	882	PF00069:Pkinase
Q94125	age-1	worm	Kinase	Other	1182	PF00454:PI3_PI4_kinase;PF00792:PI3K_C2;PF02192:PI3K_p85B;PF00794:PI3K_rbd;PF00613:PI3Ka
Q95PZ9	spe-6	worm	Kinase	Other	379	PF00069:Pkinase
Q95Q34	riok-2	worm	Kinase	Other	529	PF01163:RIO1;PF09202:Rio2_N
Q95Q95	let-363	worm	Kinase	Other	2697	PF02259:FAT;PF02260:FATC;PF08771:FRB_dom;PF23593:HEAT_ATR;PF11865:mTOR_dom;PF00454:PI3_PI4_kinase
Q95QC4	zyg-8	worm	Kinase	Other	802	PF03607:DCX;PF00069:Pkinase
Q95ZQ4	aak-2	worm	Kinase	Other	626	PF16579:AdenylateSensor;PF21147:AMPK_alpha_AID;PF00069:Pkinase
Q95ZV7	ddr-2	worm	Kinase	Other	797	PF21114:DDR1-2_DS-like;PF00754:F5_F8_type_C;PF07714:PK_Tyr_Ser-Thr
Q965G5	mak-2	worm	Kinase	Other	366	PF00069:Pkinase
Q968Y9	daf-2	worm	Kinase	Other	1846	PF00757:Furin-like;PF07714:PK_Tyr_Ser-Thr;PF01030:Recep_L_domain
Q9GN62	par-4	worm	Kinase	Other	617	PF00069:Pkinase
Q9GT24	zyg-1	worm	Kinase	Other	706	PF00069:Pkinase;PF18531:Polo_box_2;PF18544:Polo_box_3
Q9N2L7	plk-2	worm	Kinase	PLK	632	PF00069:Pkinase;PF00659:POLO_box
Q9N3Z3	chk-1	worm	Kinase	Other	503	PF00069:Pkinase
Q9NAH6	rsks-1	worm	Kinase	Other	550	PF00069:Pkinase;PF00433:Pkinase_C
Q9NB31	cst-1	worm	Kinase	Other	497	PF11629:Mst1_SARAH;PF00069:Pkinase
Q9NLA1	flr-4	worm	Kinase	Other	570	PF00069:Pkinase
Q9TW45	par-1	worm	Kinase	Other	1192	PF02149:KA1;PF00069:Pkinase
Q9TXI7	vps-34	worm	Kinase	Other	901	PF00454:PI3_PI4_kinase;PF00792:PI3K_C2;PF00613:PI3Ka
Q9TXJ0	cmk-1	worm	Kinase	Other	348	PF00069:Pkinase
Q9TZM3	lrk-1	worm	Kinase	Other	2393	PF12796:Ank_2;PF16095:COR-A;PF25497:COR-B;PF13855:LRR_8;PF00069:Pkinase;PF08477:Roc
Q9U2H1	cdkl-1	worm	Kinase	CDK	353	PF00069:Pkinase
Q9U2Q9	gsk-3	worm	Kinase	Other	362	PF00069:Pkinase
Q9U9Y8	lit-1	worm	Kinase	Other	634	PF00069:Pkinase
Q9XTC6	mom-4	worm	Kinase	Other	536	PF00069:Pkinase
Q9XTF3	mbk-2	worm	Kinase	Other	817	PF00069:Pkinase
Q9XTG7	akt-2	worm	Kinase	AKT	528	PF00169:PH;PF00069:Pkinase;PF00433:Pkinase_C
Q9XTR1	cdk-4	worm	Kinase	CDK	406	PF00069:Pkinase
Q9XTW2	famk-1	worm	Kinase	Other	512	PF06702:Fam20C
Q9XUJ7	dkf-1	worm	Kinase	Other	722	PF00130:C1_1;PF00069:Pkinase;PF25525:Ubiquitin_PRKD1_N
Q9Y1J3	pdk-1	worm	Kinase	Other	636	PF14593:PH_3;PF00069:Pkinase
U4PR86	pig-1	worm	Kinase	Other	706	PF02149:KA1;PF00069:Pkinase
X5M5N0	wnk-1	worm	Kinase	Other	1850	PF24889:CCTL2_WNK;PF12202:OSR1_C;PF00069:Pkinase
A0A061AE05	pps-1	worm	Kinase	Other	654	PF01583:APS_kinase;PF01747:ATP-sulfurylase;PF14306:PUA_2
O01991	efk-1	worm	Kinase	Other	768	PF02816:Alpha_kinase
P34346	let-754	worm	Kinase	Other	251	PF00406:ADK;PF05191:ADK_lid
P34649	riok-3	worm	Kinase	Other	510	PF01163:RIO1
P34891	kin-15	worm	Kinase	Other	488	PF07714:PK_Tyr_Ser-Thr
P34892	kin-16	worm	Kinase	Other	495	PF07714:PK_Tyr_Ser-Thr
P42168	kin-19	worm	Kinase	Other	341	PF00069:Pkinase
P46559	ckb-2	worm	Kinase	Other	369	PF01633:Choline_kinase
P54889	alh-13	worm	Kinase	Other	802	PF00696:AA_kinase;PF00171:Aldedh
P91309		worm	Kinase	Other	1323	PF00328:His_Phos_2;PF18086:PPIP5K2_N
Q02332	pdhk-2	worm	Kinase	Other	401	PF10436:BCDHK_Adom3;PF02518:HATPase_c
Q09527		worm	Kinase	Other	182	PF13238:AAA_18
Q17833	old-1	worm	Kinase	Other	502	PF07714:PK_Tyr_Ser-Thr
Q18846	rskn-2	worm	Kinase	Other	772	PF00069:Pkinase;PF00433:Pkinase_C
Q20443	prk-2	worm	Kinase	Other	441	PF00069:Pkinase
Q20845	plk-3	worm	Kinase	PLK	615	PF00069:Pkinase;PF00659:POLO_box
Q21038	ver-3	worm	Kinase	Other	1227	PF13927:Ig_3;PF07714:PK_Tyr_Ser-Thr
Q21041	ver-4	worm	Kinase	Other	1216	PF13927:Ig_3;PF07714:PK_Tyr_Ser-Thr
Q27483	pfk-1.2	worm	Kinase	Other	756	PF00365:PFK
Q86S40		worm	Kinase	Other	502	PF04587:ADP_PFK_GK
Q95Q62	lfe-2	worm	Kinase	Other	494	PF03770:IPK
Q9N3Q4	atm-1	worm	Kinase	Other	2378	PF02260:FATC;PF00454:PI3_PI4_kinase
Q9TZL8	pfk-1.1	worm	Kinase	Other	814	PF00365:PFK
Q9U1Y5	chk-2	worm	Kinase	Other	476	PF00498:FHA;PF00069:Pkinase
O01824	pdxk-1	worm	Kinase	Other	321	PF00294:PfkB
O62461	seld-1	worm	Kinase	Other	378	PF00586:AIRS;PF02769:AIRS_C
P30636	tpk-1	worm	Kinase	Other	243	PF04265:TPK_B1_binding;PF04263:TPK_catalytic
P34516		worm	Kinase	Other	346	PF00069:Pkinase
P34633		worm	Kinase	Other	331	PF00069:Pkinase
P34635		worm	Kinase	Other	374	PF00069:Pkinase
P42169		worm	Kinase	Other	341	PF00069:Pkinase
P84199	nekl-4	worm	Kinase	Other	981	PF00069:Pkinase
P91427	pgk-1	worm	Kinase	Other	417	PF00162:PGK
Q09537	grk-1	worm	Kinase	Other	642	PF00069:Pkinase;PF00615:RGS
Q09629		worm	Kinase	Other	222	PF00406:ADK;PF05191:ADK_lid
Q10024	dgk-5	worm	Kinase	Other	937	PF00609:DAGK_acc;PF00781:DAGK_cat;PF23578:DGKI
Q10454		worm	Kinase	Other	396	PF00217:ATP-gua_Ptrans;PF02807:ATP-gua_PtransN
Q11090		worm	Kinase	Other	407	PF00069:Pkinase
Q17413		worm	Kinase	Other	248	PF00485:PRK
Q18486	coq-8	worm	Kinase	Other	755	PF03109:ABC1
Q19238		worm	Kinase	Other	867	PF07714:PK_Tyr_Ser-Thr
Q20140		worm	Kinase	Other	210	PF00406:ADK
Q21122	pfkb-1.2	worm	Kinase	Other	457	PF01591:6PF2K;PF00300:His_Phos_1
Q21944		worm	Kinase	Other	502	PF02782:FGGY_C;PF00370:FGGY_N
Q22018	dtmk-1	worm	Kinase	Other	218	PF02223:Thymidylate_kin
Q7JP68		worm	Kinase	Other	398	PF00069:Pkinase
Q8MYQ1		worm	Kinase	Other	441	PF00069:Pkinase
Q9TZI1	cerk-1	worm	Kinase	MAPK	549	PF00781:DAGK_cat
Q9U3B6	nol-9	worm	Kinase	Other	549	PF16575:CLP1_P;PF25467:NOL9_C
P30646		worm	Kinase	Other	522	PF02782:FGGY_C;PF00370:FGGY_N
P46558	ckb-1	worm	Kinase	Other	371	PF01633:Choline_kinase
P46560	ckb-3	worm	Kinase	Other	368	PF01633:Choline_kinase
Q11112		worm	Kinase	Other	328	PF00069:Pkinase
Q27535		worm	Kinase	Other	360	PF00217:ATP-gua_Ptrans;PF02807:ATP-gua_PtransN
P41949		worm	Kinase	Other	376	PF07914:DUF1679
A4IGM9	aurkb	frog	Kinase	Aurora	360	PF00069:Pkinase
P62205	plk1	frog	Kinase	PLK	598	PF00069:Pkinase;PF00659:POLO_box
Q28GW8	melk	frog	Kinase	Other	652	PF02149:KA1;PF00069:Pkinase;PF21594:UBA_MELK
Q505I0	pi4k2a	frog	Kinase	Other	471	PF00454:PI3_PI4_kinase
A0JM20	tyro3	frog	Kinase	Other	881	PF00041:fn3;PF07679:I-set;PF07714:PK_Tyr_Ser-Thr
A4IIW7	cdk14	frog	Kinase	CDK	423	PF00069:Pkinase
B1WAR9	mastl	frog	Kinase	Other	890	PF00069:Pkinase
B3DL84	plk4	frog	Kinase	PLK	946	PF00069:Pkinase;PF18190:Plk4_PB1;PF18409:Plk4_PB2
B5DE93	cdk12	frog	Kinase	CDK	1239	PF00069:Pkinase
Q08CW1	tlk2	frog	Kinase	Other	697	PF00069:Pkinase
Q0IHQ8	stk10	frog	Kinase	Other	951	PF00069:Pkinase;PF12474:PKK
Q28DZ1	chuk	frog	Kinase	Other	743	PF18397:IKBKB_SDD;PF00069:Pkinase
Q28F55	ak2	frog	Kinase	Other	241	PF00406:ADK;PF05191:ADK_lid
Q28H12	cmpk1	frog	Kinase	Other	196	PF00406:ADK
Q5BKK4	sgk1	frog	Kinase	Other	418	PF00069:Pkinase;PF00433:Pkinase_C
Q5XGI0	prps2	frog	Kinase	Other	318	PF14572:Pribosyl_synth;PF13793:Pribosyltran_N
Q66JK4	clp1	frog	Kinase	Other	437	PF06807:Clp1;PF16573:CLP1_N;PF16575:CLP1_P
Q67E00	dstyk	frog	Kinase	Other	918	PF00069:Pkinase
Q6P3Q4	stk4	frog	Kinase	Other	485	PF11629:Mst1_SARAH;PF00069:Pkinase
Q6P647	csnk1d	frog	Kinase	Other	415	PF00069:Pkinase
A4IID4	pi4kb	frog	Kinase	Other	806	PF00454:PI3_PI4_kinase;PF21245:PI4KB-PIK1_PIK
A4QNA8	wee2	frog	Kinase	Other	562	PF00069:Pkinase
B1H116	uck2	frog	Kinase	Other	261	PF00485:PRK
B1WAS2	hunk	frog	Kinase	Other	697	PF00069:Pkinase
B3DL53	nme6	frog	Kinase	Other	179	PF00334:NDK
Q08CZ6	nadk2	frog	Kinase	Other	427	PF01513:NAD_kinase
Q28G26	pi4k2b	frog	Kinase	Other	492	PF00454:PI3_PI4_kinase
Q66I46	mknk2	frog	Kinase	Other	466	PF00069:Pkinase
Q66JF3	mknk1	frog	Kinase	Other	417	PF00069:Pkinase
Q6GL12	sephs1	frog	Kinase	Other	392	PF00586:AIRS;PF02769:AIRS_C
Q6GL14	pip4k2c	frog	Kinase	Other	419	PF01504:PIP5K
Q6P618	ak8	frog	Kinase	Other	485	PF00406:ADK
Q7T0B0	stk40	frog	Kinase	Other	443	PF00069:Pkinase
B0BML1	idnk	frog	Kinase	Other	190	PF01202:SKI
Q5M7P6	adck1	frog	Kinase	Other	523	PF03109:ABC1
A2RU49	HYKK	human	Kinase	Other	373	PF01636:APH
A4D2B8	PMS2P1	human	Kinase	Other	440	PF13589:HATPase_c_3
O00141	SGK1	human	Kinase	Other	431	PF00069:Pkinase;PF00433:Pkinase_C
O00142	TK2	human	Kinase	Other	265	PF01712:dNK
O00238	BMPR1B	human	Kinase	Other	502	PF01064:Activin_recp;PF07714:PK_Tyr_Ser-Thr;PF08515:TGF_beta_GS
O00311	CDC7	human	Kinase	Other	574	PF00069:Pkinase
O00329	PIK3CD	human	Kinase	Other	1044	PF00454:PI3_PI4_kinase;PF00792:PI3K_C2;PF02192:PI3K_p85B;PF00794:PI3K_rbd;PF00613:PI3Ka
O00418	EEF2K	human	Kinase	Other	725	PF02816:Alpha_kinase
O00443	PIK3C2A	human	Kinase	Other	1686	PF00168:C2;PF00454:PI3_PI4_kinase;PF00792:PI3K_C2;PF00794:PI3K_rbd;PF00613:PI3Ka;PF00787:PX
O00444	PLK4	human	Kinase	PLK	970	PF00069:Pkinase;PF18190:Plk4_PB1;PF18409:Plk4_PB2
O00506	STK25	human	Kinase	Other	426	PF20929:PDCD10_N;PF00069:Pkinase
O00746	NME4	human	Kinase	Other	187	PF00334:NDK
O00750	PIK3C2B	human	Kinase	Other	1634	PF00168:C2;PF00454:PI3_PI4_kinase;PF00792:PI3K_C2;PF00794:PI3K_rbd;PF00613:PI3Ka;PF00787:PX
O00764	PDXK	human	Kinase	Other	312	PF08543:Phos_pyr_kin
O14578	CIT	human	Kinase	Other	2027	PF00780:CNH;PF00169:PH;PF00069:Pkinase;PF00433:Pkinase_C
O14730	RIOK3	human	Kinase	Other	519	PF01163:RIO1
O14733	MAP2K7	human	Kinase	MAPK	419	PF00069:Pkinase
O14757	CHEK1	human	Kinase	Other	476	PF00069:Pkinase
O14874	BCKDK	human	Kinase	Other	412	PF10436:BCDHK_Adom3;PF02518:HATPase_c
O14920	IKBKB	human	Kinase	Other	756	PF18397:IKBKB_SDD;PF12179:IKKbetaNEMObind;PF00069:Pkinase
O14936	CASK	human	Kinase	Other	926	PF00625:Guanylate_kin;PF02828:L27;PF00595:PDZ;PF00069:Pkinase;PF07653:SH3_2
O14965	AURKA	human	Kinase	Aurora	403	PF00069:Pkinase
O14976	GAK	human	Kinase	Other	1311	PF00069:Pkinase;PF10409:PTEN_C2
O14986	PIP5K1B	human	Kinase	Other	540	PF01504:PIP5K
